Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;2.3655;32.62;0.1457;0.1718;0.14;279;;111808
1;2.0399;42.24;0.1957;0.1701;0.16;277;;111152
2;1.9038;56.9;0.2599;0.2576;0.24;355;;142601
3;1.6117;63.7;0.2502;0.2205;0.2;416;;166890
4;2.1872;50.31;0.148;0.2155;0.17;318;;127685
5;2.4475;34.58;0.0723;0.1447;0.09;214;;86049
6;2.1292;37.2;0.2915;0.1966;0.16;250;;100161
7;1.9482;49.12;0.2682;0.2126;0.19;285;;114141
8;2.2787;39.76;0.3514;0.2377;0.22;249;;99817
9;2.5413;30.56;0.2468;0.1889;0.17;216;;86656
10;1.9393;44.41;0.203;0.2769;0.18;295;;118300
11;2.3605;37.39;0.2386;0.2421;0.21;222;;88895
12;2.0746;51.84;0.2855;0.1805;0.16;326;;130823
13;1.4438;65.24;0.3146;0.2272;0.22;397;;159150
14;1.8312;53.29;0.1594;0.1625;0.13;319;;128066
15;2.1354;45.77;0.2251;0.2618;0.21;260;;104136
16;1.7897;59.14;0.2751;0.228;0.2;350;;140418
17;1.9914;52.6;0.2946;0.23;0.22;308;;123667
18;2.1108;39.01;0.2308;0.1986;0.17;223;;89654
19;1.7528;56.72;0.1837;0.2028;0.16;335;;134223
20;2.0334;46.77;0.1813;0.193;0.17;263;;105299
21;2.2022;41.9;0.3372;0.2593;0.24;210;;84375
22;2.5573;27.37;0.2138;0.2084;0.18;190;;76337
23;1.9877;50.2;0.2843;0.2578;0.23;255;;102259
