;NULL;jogging;jogging (rotating arms);jogging (skipping);jogging (sidesteps);jogging (butt-kicks);stretching (triceps);stretching (lunging);stretching (shoulders);stretching (hamstrings);stretching (lumbar rotation);push-ups;push-ups (complex);sit-ups;sit-ups (complex);burpees;lunges;lunges (complex);bench-dips
Client_Id_0;0.4;0.77;0.0;0.47;0.74;0.0;0.17;0.0;0.22;0.0;0.5;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_1;0.61;0.77;0.0;0.45;0.5;0.17;0.48;0.0;0.0;0.17;0.0;0.0;0.0;0.29;0.0;0.0;0.0;0.0;0.0
Client_Id_2;0.69;0.87;;0.17;0.83;0.43;0.74;0.0;0.0;0.0;0.0;0.67;0.0;0.33;0.15;0.0;0.0;0.0;0.0
Client_Id_3;0.78;0.82;0.0;0.68;0.8;0.2;0.21;0.0;0.5;0.0;0.75;0.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_4;0.65;0.94;0.0;0.44;0.48;0.2;0.44;0.0;0.0;0.0;0.0;0.57;0.0;0.29;0.33;0.0;0.0;0.0;0.0
Client_Id_5;0.54;0.18;0.0;0.55;0.45;0.57;1.0;0.0;0.0;0.0;0.0;0.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_6;0.53;0.92;0.0;0.5;0.64;0.0;0.29;0.0;0.0;0.0;0.62;0.8;0.0;0.44;0.0;0.0;0.0;0.0;0.0
Client_Id_7;0.63;0.71;0.0;0.47;0.69;0.2;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.95;0.31;0.0;0.0;0.0;0.0
Client_Id_8;0.53;0.95;0.18;0.59;0.86;0.62;0.89;0.0;0.0;0.0;0.78;0.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_9;0.37;0.95;0.0;0.76;0.64;0.89;0.46;0.0;0.0;0.0;0.36;0.27;0.0;0.17;0.0;0.0;0.0;0.0;0.0
Client_Id_10;0.58;0.82;0.0;0.25;0.28;0.62;0.89;0.0;;;;0.0;0.0;0.0;0.0;0.0;;;
Client_Id_11;0.44;0.89;0.0;0.61;0.87;0.88;0.86;0.0;0.0;0.0;0.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_12;0.69;0.46;0.0;0.47;0.7;0.53;0.59;0.0;0.0;0.18;0.75;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Client_Id_13;0.83;0.35;0.0;0.4;0.82;0.2;0.73;0.0;0.0;0.0;0.57;0.0;0.0;0.84;0.5;0.0;0.0;0.0;0.0
Client_Id_14;0.71;0.82;0.0;0.41;0.73;0.0;0.71;0.0;0.0;0.0;0.71;0.25;0.0;0.33;0.0;0.0;0.0;0.0;0.0
Client_Id_15;0.63;0.95;0.0;0.46;0.91;0.0;0.0;0.0;0.0;0.0;0.59;0.47;0.0;0.9;0.33;0.0;0.0;0.0;0.0
Client_Id_16;0.75;0.89;0.0;0.5;0.7;0.2;0.5;0.0;0.0;0.0;0.84;0.0;0.0;0.46;0.67;0.0;0.0;0.0;0.0
Client_Id_17;0.68;0.9;0.0;0.39;0.67;0.33;0.74;0.0;0.0;0.0;0.75;0.0;0.0;0.33;0.0;0.0;0.0;0.0;0.0
Client_Id_18;0.55;1.0;0.0;0.48;0.55;0.22;0.0;0.0;0.29;0.0;0.43;0.0;0.0;0.57;0.5;0.0;0.0;0.0;0.0
Client_Id_19;0.74;0.89;0.0;0.47;0.74;0.0;0.71;0.0;0.0;0.0;0.53;0.44;0.0;0.0;0.22;0.0;0.0;0.0;0.0
Client_Id_20;0.65;0.94;0.0;0.59;0.74;0.0;0.0;0.0;0.0;0.0;0.62;0.0;0.0;0.33;0.0;0.0;0.0;0.0;0.0
Client_Id_21;0.52;0.88;0.0;0.5;0.88;0.5;0.88;0.0;0.0;0.0;0.88;0.71;0.0;0.5;0.0;0.0;0.0;0.0;0.0
Client_Id_22;0.31;0.87;0.0;0.3;0.88;0.2;0.89;0.0;0.0;0.0;0.95;0.0;0.0;0.67;0.0;0.0;0.0;0.0;0.0
Client_Id_23;0.65;1.0;0.0;0.5;0.78;0.0;0.0;0.0;0.0;0.0;0.88;0.4;0.0;0.36;0.5;0.0;0.0;0.0;0.0
