Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;0.9786;70.97;0.8125;0.6801;0.72;279;;111808
1;1.2137;70.04;0.7139;0.6887;0.68;277;;111152
2;1.5583;68.45;0.5867;0.5855;0.57;355;;142601
3;0.8851;71.39;0.6402;0.6954;0.65;416;;166890
4;2.3359;55.66;0.6052;0.5654;0.56;318;;127685
5;2.0344;52.34;0.4116;0.4474;0.41;214;;86049
6;0.8906;73.2;0.8263;0.7196;0.73;250;;100161
7;0.7371;76.84;0.7403;0.7676;0.74;285;;114141
8;1.0143;72.29;0.8329;0.7386;0.73;249;;99817
9;2.0562;44.91;0.4674;0.4004;0.4;216;;86656
10;2.2661;52.2;0.4486;0.5523;0.45;295;;118300
11;0.8491;72.97;0.7566;0.7737;0.75;222;;88895
12;1.1547;71.47;0.6808;0.7111;0.65;326;;130823
13;0.6423;81.61;0.753;0.8041;0.76;397;;159150
14;1.0808;69.59;0.7022;0.774;0.71;319;;128066
15;0.841;76.92;0.8004;0.7521;0.75;260;;104136
16;0.7285;75.43;0.7726;0.8324;0.77;350;;140418
17;0.8614;74.35;0.7655;0.8426;0.77;308;;123667
18;1.0965;72.2;0.7564;0.7102;0.71;223;;89654
19;0.7317;79.1;0.7837;0.8307;0.79;335;;134223
20;1.0473;71.1;0.7397;0.653;0.66;263;;105299
21;0.6367;81.43;0.8735;0.8319;0.83;210;;84375
22;1.0375;75.79;0.7385;0.7503;0.72;190;;76337
23;0.7233;74.51;0.7703;0.7535;0.72;255;;102259
