Client_Id;Validation loss;Validation Accuracy;Validation Precision;Validation Recall;Validation F1 score;Number of Val Examples(Btach);Training stop round;Number of Training Examples
0;0.988;70.61;0.7979;0.7084;0.71;279;61;111808
1;1.1282;66.79;0.7705;0.6433;0.63;277;;111152
2;1.3794;72.96;0.6924;0.6663;0.64;355;;142601
3;1.2458;63.7;0.5833;0.6821;0.59;416;40;166890
4;1.9425;52.83;0.6063;0.5242;0.53;318;;127685
5;1.9534;50;0.3931;0.4215;0.38;214;91;86049
6;0.8231;71.2;0.7565;0.7113;0.71;250;;100161
7;0.8367;76.14;0.7857;0.7827;0.75;285;;114141
8;1.0248;68.27;0.7891;0.7053;0.7;249;;99817
9;2.1374;51.39;0.5647;0.4693;0.46;216;89;86656
10;2.1788;47.8;0.4742;0.5804;0.47;295;49;118300
11;0.8434;76.58;0.7506;0.7976;0.76;222;;88895
12;1.089;70.55;0.6698;0.748;0.67;326;;130823
13;0.8065;76.07;0.7108;0.7313;0.69;397;56;159150
14;1.017;69.91;0.7041;0.7867;0.72;319;;128066
15;0.9092;75;0.704;0.7366;0.69;260;94;104136
16;0.9589;72.29;0.7618;0.8379;0.76;350;;140418
17;0.9667;71.1;0.7929;0.8311;0.77;308;70;123667
18;0.902;73.09;0.7653;0.7599;0.74;223;53;89654
19;0.7166;75.22;0.7772;0.7679;0.74;335;;134223
20;1.0955;66.16;0.6239;0.6312;0.6;263;;105299
21;0.556;84.76;0.8985;0.871;0.87;210;;84375
22;0.7334;77.37;0.7374;0.7661;0.74;190;;76337
23;0.954;67.84;0.7124;0.7373;0.68;255;;102259
