;NULL;jogging;jogging (rotating arms);jogging (skipping);jogging (sidesteps);jogging (butt-kicks);stretching (triceps);stretching (lunging);stretching (shoulders);stretching (hamstrings);stretching (lumbar rotation);push-ups;push-ups (complex);sit-ups;sit-ups (complex);burpees;lunges;lunges (complex);bench-dips
Client_Id_0;0.58;0.89;0.78;0.78;0.93;0.85;0.91;0.82;0.77;0.67;0.71;0.48;0.5;0.61;0.6;0.57;0.81;0.88;0.55
Client_Id_1;0.72;0.0;0.64;0.74;0.75;0.8;0.9;0.82;0.74;0.95;0.67;0.59;0.42;0.75;0.54;0.5;0.75;0.84;0.77
Client_Id_2;0.72;0.9;0.0;0.67;0.93;0.8;0.83;0.54;0.0;0.6;0.89;0.0;0.48;0.78;0.69;0.7;0.38;0.73;0.18
Client_Id_3;0.78;0.86;0.82;0.73;0.89;0.75;1.0;0.0;0.82;0.27;0.76;0.52;0.67;0.73;0.91;0.3;0.12;0.62;0.82
Client_Id_4;0.62;0.93;1.0;0.82;0.8;0.2;0.86;0.93;0.67;0.42;0.0;0.78;0.63;0.91;0.54;0.0;0.13;0.0;0.37
Client_Id_5;0.55;0.0;0.55;0.88;0.86;0.0;0.96;0.92;0.0;0.0;0.94;0.46;0.0;0.62;0.71;0.0;0.19;0.17;0.0
Client_Id_6;0.68;0.88;0.9;1.0;0.89;0.95;1.0;0.95;0.46;0.12;0.95;0.59;0.5;0.52;0.52;0.33;0.96;0.9;0.82
Client_Id_7;0.8;0.78;0.82;0.72;0.9;0.0;0.71;0.78;0.75;0.95;0.95;0.48;0.33;0.9;0.87;0.9;0.62;0.95;0.93
Client_Id_8;0.65;0.9;0.9;0.89;0.95;1.0;0.8;0.89;0.46;0.95;0.9;0.56;0.18;0.74;0.8;0.8;0.64;0.38;0.57
Client_Id_9;0.41;0.89;0.89;0.63;0.17;0.82;0.71;0.0;0.0;0.0;0.62;0.4;0.0;0.7;0.29;0.43;0.2;0.38;0.0
Client_Id_10;0.54;0.9;0.87;1.0;0.28;0.25;0.84;0.67;0.0;0.0;;0.41;0.0;0.82;0.74;0.33;0.0;;0.0
Client_Id_11;0.55;0.89;0.95;0.93;0.95;0.88;0.78;0.33;0.15;0.9;1.0;0.55;0.0;0.87;0.92;0.94;0.84;0.82;0.89
Client_Id_12;0.78;0.46;0.7;0.9;1.0;0.9;0.82;0.56;0.86;0.82;0.78;0.35;0.0;0.78;0.8;0.57;0.57;0.0;0.8
Client_Id_13;0.85;0.91;0.84;0.94;0.91;0.89;0.78;0.0;0.89;0.95;0.89;0.56;0.4;0.91;0.64;0.84;0.82;0.71;0.71
Client_Id_14;0.69;0.94;0.76;0.75;1.0;0.88;0.95;0.78;1.0;0.86;0.9;0.39;0.15;0.52;0.75;0.55;0.57;0.78;0.31
Client_Id_15;0.78;0.94;0.83;1.0;0.95;0.94;0.0;0.8;0.86;0.72;0.59;0.7;0.62;0.64;0.57;0.78;0.9;0.75;0.8
Client_Id_16;0.77;0.94;0.9;0.95;0.94;0.89;0.84;0.7;0.8;0.49;0.8;0.48;0.62;0.8;1.0;0.56;0.55;0.82;0.8
Client_Id_17;0.72;0.9;0.86;0.86;0.82;0.95;0.94;0.95;0.89;0.9;1.0;0.56;0.0;0.49;0.43;0.77;0.9;0.95;0.84
Client_Id_18;0.7;1.0;0.8;0.82;0.82;0.76;0.7;0.55;0.88;0.31;0.75;0.73;0.86;0.91;0.53;0.82;0.0;0.61;0.9
Client_Id_19;0.8;0.95;0.95;0.86;1.0;0.71;0.84;0.8;0.9;0.8;0.61;0.55;0.67;0.75;0.88;0.73;0.47;1.0;0.75
Client_Id_20;0.77;0.8;0.94;0.64;0.55;0.55;0.33;0.7;0.88;0.75;0.89;0.58;0.0;0.43;0.64;0.62;0.88;0.64;0.88
Client_Id_21;0.73;0.88;0.94;0.89;0.94;0.94;0.88;0.95;0.89;0.95;1.0;0.45;0.22;1.0;0.89;0.89;0.74;0.94;0.62
Client_Id_22;0.62;0.95;0.94;0.89;1.0;0.94;1.0;0.0;0.18;0.95;0.95;0.89;0.95;1.0;0.84;0.9;0.6;0.0;0.0
Client_Id_23;0.77;1.0;0.94;0.88;0.95;0.93;0.95;0.27;0.57;0.36;0.88;0.57;0.53;0.82;0.59;0.63;0.57;0.84;0.73
