;NULL;jogging;jogging (rotating arms);jogging (skipping);jogging (sidesteps);jogging (butt-kicks);stretching (triceps);stretching (lunging);stretching (shoulders);stretching (hamstrings);stretching (lumbar rotation);push-ups;push-ups (complex);sit-ups;sit-ups (complex);burpees;lunges;lunges (complex);bench-dips
Client_Id_0;0.63;0.83;0.45;0.53;0.9;0.76;0.9;0.95;0.93;0.77;0.8;0.59;0.62;0.7;0.54;0.38;0.77;0.91;0.61
Client_Id_1;0.71;0.4;0.56;0.59;0.8;0.17;0.8;0.8;0.86;0.95;0.8;0.53;0.25;0.87;0.62;0.42;0.67;0.7;0.55
Client_Id_2;0.76;0.9;0.0;0.67;0.87;0.5;0.92;0.33;0.82;0.64;0.95;0.76;0.4;0.78;0.65;0.56;0.67;0.92;0.0
Client_Id_3;0.71;0.9;0.76;0.6;0.89;0.8;0.89;0.0;0.67;0.31;0.59;0.43;0.46;0.8;0.69;0.44;0.0;0.52;0.82
Client_Id_4;0.61;0.67;0.94;0.75;0.8;0.2;0.92;0.77;0.62;0.33;0.0;0.67;0.67;0.91;0.67;0.0;0.17;0.0;0.35
Client_Id_5;0.5;0.0;0.52;0.75;0.93;0.0;0.92;0.96;0.0;0.0;0.8;0.35;0.0;0.67;0.65;0.0;0.2;0.0;0.0
Client_Id_6;0.67;0.88;0.9;1.0;0.89;0.95;1.0;0.9;0.82;0.5;0.87;0.46;0.0;0.58;0.42;0.17;0.88;0.95;0.57
Client_Id_7;0.76;0.89;0.95;0.9;0.95;0.0;0.67;0.57;0.83;0.95;0.9;0.43;0.57;0.82;0.78;0.95;0.62;0.86;0.88
Client_Id_8;0.58;0.95;0.86;1.0;0.89;0.89;0.8;0.33;0.46;0.89;0.86;0.5;0.0;0.86;0.74;0.84;0.67;0.62;0.57
Client_Id_9;0.45;0.82;0.95;0.57;0.43;0.82;0.75;0.0;0.5;0.0;0.76;0.48;0.0;0.9;0.63;0.4;0.2;0.15;0.0
Client_Id_10;0.48;0.84;0.83;0.84;0.26;0.27;0.89;0.71;;0.0;;0.35;0.0;0.78;0.56;0.17;0.0;;
Client_Id_11;0.63;0.89;0.9;0.93;0.95;0.88;0.86;0.0;0.78;0.95;0.95;0.6;0.0;0.82;0.92;0.88;0.84;0.82;0.89
Client_Id_12;0.74;0.62;0.74;0.95;0.95;0.84;0.86;0.62;0.86;0.95;0.84;0.32;0.0;0.83;0.62;0.57;0.52;0.0;0.91
Client_Id_13;0.82;0.78;0.78;0.8;1.0;0.5;0.78;0.0;0.76;0.95;0.95;0.38;0.29;0.78;0.47;0.8;0.82;0.71;0.8
Client_Id_14;0.7;0.94;0.82;0.75;1.0;0.94;0.95;0.78;1.0;0.75;0.9;0.36;0.0;0.48;0.78;0.5;0.59;0.7;0.67
Client_Id_15;0.8;0.95;0.91;1.0;0.95;0.94;0.0;0.96;0.9;0.86;0.83;0.52;0.0;0.58;0.17;0.61;0.59;0.67;0.89
Client_Id_16;0.72;0.89;0.95;0.89;0.94;0.94;0.89;0.74;0.86;0.42;0.73;0.36;0.62;0.75;0.83;0.67;0.52;0.89;0.9
Client_Id_17;0.65;0.9;0.91;0.89;0.89;0.62;0.94;0.95;0.95;1.0;0.95;0.51;0.0;0.53;0.33;0.88;0.95;0.95;0.9
Client_Id_18;0.68;1.0;1.0;0.88;0.89;0.88;0.89;0.86;0.67;0.82;0.82;0.62;0.4;0.8;0.47;0.84;0.0;0.58;0.9
Client_Id_19;0.78;1.0;0.84;0.78;0.95;0.5;0.95;0.5;0.74;0.86;0.67;0.46;0.6;0.71;0.74;0.59;0.56;1.0;0.8
Client_Id_20;0.7;0.94;0.8;0.56;0.93;0.0;0.0;0.63;0.75;0.73;0.8;0.5;0.0;0.57;0.64;0.78;0.67;0.62;0.8
Client_Id_21;0.76;0.88;0.89;0.88;0.88;0.88;0.94;0.95;0.94;0.95;1.0;0.67;0.67;0.95;0.82;0.95;0.84;0.94;0.77
Client_Id_22;0.59;1.0;0.94;0.82;1.0;1.0;0.95;0.0;0.95;1.0;0.95;0.72;0.67;0.94;0.9;0.89;0.69;0.0;0.0
Client_Id_23;0.62;0.95;0.82;1.0;0.95;0.86;1.0;0.0;0.9;0.57;0.84;0.52;0.17;0.75;0.47;0.6;0.84;1.0;0.15
