,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,household_per_room,bedrooms_per_room,household_per_population,total_income
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,0,0,0,1,0,0.1431818181818182,0.14659090909090908,0.391304347826087,1048.9752
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,0,0,0,1,0,0.1603042682067897,0.15579659106916466,0.4739691795085381,9446.993199999999
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,0,0,0,1,0,0.12065439672801637,0.12951601908657123,0.35685483870967744,1284.5598
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,0,0,0,1,0,0.17189952904238617,0.18445839874411302,0.3924731182795699,1235.8389
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,0,0,0,1,0,0.15918869084204057,0.1720958819913952,0.4584070796460177,996.1658
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,0,0,0,1,0,0.2100108813928183,0.23177366702937977,0.46731234866828086,779.1024000000001
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,0,0,0,1,0,0.20276134122287967,0.19289940828402366,0.46983546617915906,1880.7774
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,0,0,0,1,0,0.20844072164948454,0.22132731958762886,0.5592048401037165,2018.64
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,0,0,0,1,0,0.2328767123287671,0.2602739726027397,0.49336650082918737,1237.838
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,0,0,0,1,0,0.20118343195266272,0.1992110453648915,0.46034816247582205,2635.5168
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,0,0,0,1,0,0.18256130790190736,0.19709355131698456,0.44175824175824174,1287.6462000000001
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,0,0,0,1,0,0.20953468455609478,0.2146731373108764,0.488031914893617,2400.547
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,0,0,0,1,0,0.18787635487755922,0.1902850260939382,0.4262295081967213,1439.1000000000001
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,0,0,0,1,0,0.25,0.2744252873563218,0.5043478260869565,465.2064
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,0,0,0,1,0,0.2345819144911086,0.23685206205069997,0.5115511551155115,1188.354
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,0,0,0,1,0,0.2357142857142857,0.2526785714285714,0.3787661406025825,561.0
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,0,0,0,1,0,0.1683621566632757,0.17650050864699898,0.41740226986128626,918.525
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,0,0,0,1,0,0.24674267100977199,0.23859934853420195,0.4675925925925926,642.4206
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,0,0,0,1,0,0.18713711478338543,0.20321572130415363,0.42323232323232324,834.2709
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,0,0,0,1,0,0.18296739853626082,0.19827012641383898,0.39855072463768115,715.9075
