Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
58,228575,UeliGegenschatz_2009_625.89_629.76,3.87,625.89,629.76,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,,we 're still working on it and we 're developing the wingsuits to,string,,w e _ ' r e _ s t i l l _ w o r k i n g _ o n _ i t _ a n d _ w e _ ' r e _ d e v e l o p i n g _ t h e _ w i n g s u i t s _ t o,string,
6,228523,UeliGegenschatz_2009_50.68_54.97,4.29,50.68,54.97,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,,the judging from regular relative skydiving,string,,t h e _ j u d g i n g _ f r o m _ r e g u l a r _ r e l a t i v e _ s k y d i v i n g,string,
55,228572,UeliGegenschatz_2009_598.91_603.23,4.32,598.91,603.23,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,,the closest possibility to come to the dream of being able to fly,string,,t h e _ c l o s e s t _ p o s s i b i l i t y _ t o _ c o m e _ t o _ t h e _ d r e a m _ o f _ b e i n g _ a b l e _ t o _ f l y,string,
50,228567,UeliGegenschatz_2009_329.9_339.52,9.62,329.9,339.52,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,, following movie you will see that i 'm much better in flying a wingsuit than speaking in english  enjoy  and thank you very much,string,,_ f o l l o w i n g _ m o v i e _ y o u _ w i l l _ s e e _ t h a t _ i _ ' m _ m u c h _ b e t t e r _ i n _ f l y i n g _ a _ w i n g s u i t _ t h a n _ s p e a k i n g _ i n _ e n g l i s h _ _ e n j o y _ _ a n d _ t h a n k _ y o u _ v e r y _ m u c h,string,
15,228532,UeliGegenschatz_2009_116.12_118.63,2.51,116.12,118.63,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,,i can make it fly and as you see,string,,i _ c a n _ m a k e _ i t _ f l y _ a n d _ a s _ y o u _ s e e,string,
59,228576,UeliGegenschatz_2009_629.87_633.15,3.28,629.87,633.15,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,, get better performance to get more knowledge  and,string,,_ g e t _ b e t t e r _ p e r f o r m a n c e _ t o _ g e t _ m o r e _ k n o w l e d g e _ _ a n d,string,
30,228547,UeliGegenschatz_2009_214.74_217.42,2.68,214.74,217.42,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,,so with all this,string,,s o _ w i t h _ a l l _ t h i s,string,
10,228527,UeliGegenschatz_2009_75_78.92,3.92,75.0,78.92,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,,freefall also with the helmet cam to film this jump,string,,f r e e f a l l _ a l s o _ w i t h _ t h e _ h e l m e t _ c a m _ t o _ f i l m _ t h i s _ j u m p,string,
23,228540,UeliGegenschatz_2009_162.69_170.96,8.27,162.69,170.96,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,,being in free fall with all the visual references  so my goal soon was to,string,,b e i n g _ i n _ f r e e _ f a l l _ w i t h _ a l l _ t h e _ v i s u a l _ r e f e r e n c e s _ _ s o _ m y _ g o a l _ s o o n _ w a s _ t o,string,
64,228581,UeliGegenschatz_2009_679.99_689.75,9.76,679.99,689.75,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/UeliGegenschatz_2009.sph,sph,,UeliGegenschatz_2009,string,, feeling would be with only goggles jc and is that how you usually fly ue usually i 'm wearing a helmet in the mountains i 'm always wearing a helmet because of landings,string,,_ f e e l i n g _ w o u l d _ b e _ w i t h _ o n l y _ g o g g l e s _ j c _ a n d _ i s _ t h a t _ h o w _ y o u _ u s u a l l y _ f l y _ u e _ u s u a l l y _ i _ ' m _ w e a r i n g _ a _ h e l m e t _ i n _ t h e _ m o u n t a i n s _ i _ ' m _ a l w a y s _ w e a r i n g _ a _ h e l m e t _ b e c a u s e _ o f _ l a n d i n g s,string,
