,Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
1,28,73140,CharityTillemannDick_2010P_207.93_217.15,9.22,207.93,217.15,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,i had a heart catheterization where they measure this internal arterial pulmonary pressure  which is supposed to be between fifteen and twenty  mine,string,,i _ h a d _ a _ h e a r t _ c a t h e t e r i z a t i o n _ w h e r e _ t h e y _ m e a s u r e _ t h i s _ i n t e r n a l _ a r t e r i a l _ p u l m o n a r y _ p r e s s u r e _ _ w h i c h _ i s _ s u p p o s e d _ t o _ b e _ b e t w e e n _ f i f t e e n _ a n d _ t w e n t y _ _ m i n e,string,
3,20,73132,CharityTillemannDick_2010P_149.97_154.88,4.91,149.97,154.88,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,i come from colorado it 's a mile high and i grew up there with,string,,i _ c o m e _ f r o m _ c o l o r a d o _ i t _ ' s _ a _ m i l e _ h i g h _ a n d _ i _ g r e w _ u p _ t h e r e _ w i t h,string,
5,120,73232,CharityTillemannDick_2010P_779.6_783.78,4.18,779.6,783.78,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,, example of perseverance  grit,string,,_ e x a m p l e _ o f _ p e r s e v e r a n c e _ _ g r i t,string,
8,3,73115,CharityTillemannDick_2010P_46.21_53.4,7.19,46.21,53.4,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,when i was diagnosed with idiopathic pulmonary hypertension also known as ph,string,,w h e n _ i _ w a s _ d i a g n o s e d _ w i t h _ i d i o p a t h i c _ p u l m o n a r y _ h y p e r t e n s i o n _ a l s o _ k n o w n _ a s _ p h,string,
9,53,73165,CharityTillemannDick_2010P_363.66_365.59,1.93,363.66,365.59,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,february,string,,f e b r u a r y,string,
10,5,73117,CharityTillemannDick_2010P_54.93_64.12,9.19,54.93,64.12,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,, a thickening in the pulmonary veins making the right side of the heart work overtime and causing what i call the ,string,,_ a _ t h i c k e n i n g _ i n _ t h e _ p u l m o n a r y _ v e i n s _ m a k i n g _ t h e _ r i g h t _ s i d e _ o f _ t h e _ h e a r t _ w o r k _ o v e r t i m e _ a n d _ c a u s i n g _ w h a t _ i _ c a l l _ t h e _,string,
12,118,73230,CharityTillemannDick_2010P_766.41_778.4,11.99,766.41,778.4,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,to save my voice  though my mom couldn 't say goodbye to me before the surgery she didn 't leave my side in the months of recovery that followed ,string,,t o _ s a v e _ m y _ v o i c e _ _ t h o u g h _ m y _ m o m _ c o u l d n _ ' t _ s a y _ g o o d b y e _ t o _ m e _ b e f o r e _ t h e _ s u r g e r y _ s h e _ d i d n _ ' t _ l e a v e _ m y _ s i d e _ i n _ t h e _ m o n t h s _ o f _ r e c o v e r y _ t h a t _ f o l l o w e d _,string,
13,77,73189,CharityTillemannDick_2010P_523.32_529.46,6.14,523.32,529.46,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,i went back to the states anticipating i 'd return to europe  but the heart catheterization showed that,string,,i _ w e n t _ b a c k _ t o _ t h e _ s t a t e s _ a n t i c i p a t i n g _ i _ ' d _ r e t u r n _ t o _ e u r o p e _ _ b u t _ t h e _ h e a r t _ c a t h e t e r i z a t i o n _ s h o w e d _ t h a t,string,
14,66,73178,CharityTillemannDick_2010P_447.81_454.76,6.95,447.81,454.76,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,in the heat of the desert  i was freezing cold my fingers started turning blue  and i was like,string,,i n _ t h e _ h e a t _ o f _ t h e _ d e s e r t _ _ i _ w a s _ f r e e z i n g _ c o l d _ m y _ f i n g e r s _ s t a r t e d _ t u r n i n g _ b l u e _ _ a n d _ i _ w a s _ l i k e,string,
15,116,73228,CharityTillemannDick_2010P_755.68_760.37,4.69,755.68,760.37,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,surgery to move the tubes around my voice box,string,,s u r g e r y _ t o _ m o v e _ t h e _ t u b e s _ a r o u n d _ m y _ v o i c e _ b o x,string,
16,65,73177,CharityTillemannDick_2010P_435.81_448.12,12.31,435.81,448.12,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,after one performance  i could barely drag myself from the stage to the taxicab  i sat down and felt the blood rush down from my face  and,string,,a f t e r _ o n e _ p e r f o r m a n c e _ _ i _ c o u l d _ b a r e l y _ d r a g _ m y s e l f _ f r o m _ t h e _ s t a g e _ t o _ t h e _ t a x i c a b _ _ i _ s a t _ d o w n _ a n d _ f e l t _ t h e _ b l o o d _ r u s h _ d o w n _ f r o m _ m y _ f a c e _ _ a n d,string,
18,62,73174,CharityTillemannDick_2010P_406.94_416.52,9.58,406.94,416.52,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,against my doctors ' and family 's wishes i needed to go back for the funeral  i had to say goodbye in some way shape or form ,string,,a g a i n s t _ m y _ d o c t o r s _ ' _ a n d _ f a m i l y _ ' s _ w i s h e s _ i _ n e e d e d _ t o _ g o _ b a c k _ f o r _ t h e _ f u n e r a l _ _ i _ h a d _ t o _ s a y _ g o o d b y e _ i n _ s o m e _ w a y _ s h a p e _ o r _ f o r m _,string,
25,25,73137,CharityTillemannDick_2010P_181.73_186.48,4.75,181.73,186.48,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,sildenafil  also known as viagra,string,,s i l d e n a f i l _ _ a l s o _ k n o w n _ a s _ v i a g r a,string,
26,113,73225,CharityTillemannDick_2010P_737.7_745.66,7.96,737.7,745.66,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,had hoped my voice would be saved but my doctors knew that the breathing tubes going down my throat might have already destroyed it,string,,h a d _ h o p e d _ m y _ v o i c e _ w o u l d _ b e _ s a v e d _ b u t _ m y _ d o c t o r s _ k n e w _ t h a t _ t h e _ b r e a t h i n g _ t u b e s _ g o i n g _ d o w n _ m y _ t h r o a t _ m i g h t _ h a v e _ a l r e a d y _ d e s t r o y e d _ i t,string,
30,84,73196,CharityTillemannDick_2010P_565.94_575.17,9.23,565.94,575.17,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,i officially took a break from singing  and i went to the cleveland clinic to be reevaluated for the third time in five years for transplant,string,,i _ o f f i c i a l l y _ t o o k _ a _ b r e a k _ f r o m _ s i n g i n g _ _ a n d _ i _ w e n t _ t o _ t h e _ c l e v e l a n d _ c l i n i c _ t o _ b e _ r e e v a l u a t e d _ f o r _ t h e _ t h i r d _ t i m e _ i n _ f i v e _ y e a r s _ f o r _ t r a n s p l a n t,string,
34,38,73150,CharityTillemannDick_2010P_262_263.58,1.58,262.0,263.58,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,too much salt,string,,t o o _ m u c h _ s a l t,string,
35,4,73116,CharityTillemannDick_2010P_53.24_54.91,1.67,53.24,54.91,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,it happens when there,string,,i t _ h a p p e n s _ w h e n _ t h e r e,string,
36,98,73210,CharityTillemannDick_2010P_654.87_663.88,9.01,654.87,663.88,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,, problems i had spent my whole life training my lungs and i was not particularly enthusiastic about giving them up i,string,,_ p r o b l e m s _ i _ h a d _ s p e n t _ m y _ w h o l e _ l i f e _ t r a i n i n g _ m y _ l u n g s _ a n d _ i _ w a s _ n o t _ p a r t i c u l a r l y _ e n t h u s i a s t i c _ a b o u t _ g i v i n g _ t h e m _ u p _ i,string,
42,43,73155,CharityTillemannDick_2010P_292.83_303.43,10.6,292.83,303.43,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,,within a few days i could walk again  within a few weeks i was performing  and in a few months  i debuted at the kennedy center,string,,w i t h i n _ a _ f e w _ d a y s _ i _ c o u l d _ w a l k _ a g a i n _ _ w i t h i n _ a _ f e w _ w e e k s _ i _ w a s _ p e r f o r m i n g _ _ a n d _ i n _ a _ f e w _ m o n t h s _ _ i _ d e b u t e d _ a t _ t h e _ k e n n e d y _ c e n t e r,string,
43,56,73168,CharityTillemannDick_2010P_380.11_386.82,6.71,380.11,386.82,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,, weeks later i got a call from my family my father had been in a catastrophic,string,,_ w e e k s _ l a t e r _ i _ g o t _ a _ c a l l _ f r o m _ m y _ f a m i l y _ m y _ f a t h e r _ h a d _ b e e n _ i n _ a _ c a t a s t r o p h i c,string,
47,24,73136,CharityTillemannDick_2010P_177.92_180.45,2.53,177.92,180.45,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/CharityTillemannDick_2010P.sph,sph,,CharityTillemannDick_2010P,string,, i started taking huge doses of,string,,_ i _ s t a r t e d _ t a k i n g _ h u g e _ d o s e s _ o f,string,
