dataset_name,client_num,n_estimators_client,num_rounds,xgb_max_depth,CNN_lr,best_res,best_res_round_num
a9a,2,250,30,8,0.0001,0.8429285287857056,30
a9a,2,250,40,8,0.0001,0.8376873135566711,40
a9a,2,250,20,8,0.0001,0.7641471028327942,20
a9a,2,500,30,8,0.001,0.8455491065979004,29
ijcnn1,2,250,30,8,0.0005,0.9234752058982849,30
ijcnn1,2,300,50,5,0.0005,0.9468683004379272,49
cod-rna,10,100,30,8,0.001,0.9503719806671143,30
ijcnn1,10,100,30,8,0.0005,0.938660204410553,28
ijcnn1,10,100,30,8,0.0005,0.9379972219467163,28
a9a,10,100,30,8,0.001,0.8403897881507874,26
