cpu name,cores,core clock,shss
Athlon Gold 3150U,2 / 4,2.4 to 3.3 GHz,0.0012336201359738187
Core Ultra 5 235TA,14,2.2 to 5 GHz,0.0003900801779662638
Athlon Silver 3050U,2 / 4,2.2 to 3.2 GHz,0.0005217670071964738
Core Ultra 5 235A,14,3.4 to 5 GHz,0.0003900801779662638
EPYC 7C13,64 / 128,2 to 3.675 GHz,0.001003937107654369
Ryzen 5 3600,6 / 12,3.6 to 4.2 GHz,0.016318238831581094
Ryzen 7 5700X,8 / 16,3.4 to 4.6 GHz,0.014049216084834079
EPYC 7Y43,48 / 96,2.55 to 3.6 GHz,0.001003937107654369
Ryzen 5 5600,6 / 12,3.5 to 4.4 GHz,0.016318238831581094
Ryzen 5 5500,6 / 12,3.6 to 4.2 GHz,0.016318238831581094
Core 5 120,6 / 12,2.5 to 4.5 GHz,0.0023116151346280795
Ryzen 5 5600G,6 / 12,3.9 to 4.4 GHz,0.016318238831581094
Ryzen 7 5700X3D,8 / 16,3 to 4.1 GHz,0.014049216084834079
Ryzen 5 2600,6 / 12,3.4 to 3.9 GHz,0.016318238831581094
Ryzen 7 3700X,8 / 16,3.6 to 4.4 GHz,0.014049216084834079
Ryzen 7 9800X3D,8 / 16,4.7 to 5.2 GHz,0.014049216084834079
Ryzen 7 5825U,8 / 16,2 to 4.5 GHz,0.014049216084834079
Ryzen 7 5700G,8 / 16,3.8 to 4.6 GHz,0.014049216084834079
Ryzen 5 5600X,6 / 12,3.7 to 4.6 GHz,0.016318238831581094
Ryzen 7 7800X3D,8 / 16,4.2 to 5 GHz,0.014049216084834079
Ryzen 5 3400G,4 / 8,3.7 to 4.2 GHz,0.0076772274489450044
Ryzen 7 5700U,8 / 16,1.8 to 4.3 GHz,0.014049216084834079
Ryzen 5 5600GT,6 / 12,3.6 to 4.6 GHz,0.016318238831581094
Ryzen 3 3200G,4,3.6 to 4 GHz,0.0076772274489450044
Ryzen 9 9950X3D,16 / 32,4.3 to 5.7 GHz,0.0030620792407556833
Ryzen 5 7500F,6 / 12,3.7 to 5 GHz,0.016318238831581094
Ryzen 5 9600X,6 / 12,3.9 to 5.4 GHz,0.016318238831581094
Ryzen 5 5500U,6 / 12,2.1 to 4 GHz,0.016318238831581094
Ryzen 7 5800X,8 / 16,3.8 to 4.7 GHz,0.014049216084834079
Ryzen 7 2700X,8 / 16,3.7 to 4.35 GHz,0.014049216084834079
Ryzen 5 1600,6 / 12,3.2 to 3.6 GHz,0.010976626014685964
Ryzen 7 9700X,8 / 16,3.8 to 5.5 GHz,0.014049216084834079
Ryzen 3 2200G,4,3.5 to 3.7 GHz,0.0076772274489450044
Ryzen 5 7600X,6 / 12,4.7 to 5.3 GHz,0.016318238831581094
Ryzen 5 4500,6 / 12,3.6 to 4.1 GHz,0.016318238831581094
Ryzen 5 3500U,4 / 8,2.1 to 3.7 GHz,0.0076772274489450044
Ryzen 5 3500X,6,3.6 to 4.1 GHz,0.016318238831581094
FX-8350,8,4 to 4.2 GHz,0.014049216084834079
Ryzen 7 5800X3D,8 / 16,3.4 to 4.5 GHz,0.014049216084834079
Ryzen 7 7700,8 / 16,3.8 to 5.3 GHz,0.014049216084834079
