diagnosis_type	diagnosis_code	diagnosis_description	icd9cm	icd10cm	flags
ICD9	996.76	OTHER COMPLICATIONS DUE TO GENITOURINARY DEVICE, IMPLANT, AND GRAFT	99676	T8384XA	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S52602D	10000
ICD9	730.06	ACUTE OSTEOMYELITIS INVOLVING LOWER LEG	73006	M86169	10000
ICD9	345.61	INFANTILE SPASMS, WITH INTRACTABLE EPILEPSY	34561	G40824	10000
ICD9	989.5	TOXIC EFFECT OF VENOM	9895	T63421A	10000
ICD9	V90.39	Other Retained Organic Fragments	V9039	Z1839	00000
ICD9	813.17	OTHER AND UNSPECIFIED OPEN FRACTURES OF PROXIMAL END OF RADIUS (ALONE)	81317	S52109C	10000
ICD9	300.20	PHOBIA, UNSPECIFIED	30020	F409	10000
ICD9	727.41	GANGLION OF JOINT	72741	M67449	10000
ICD9	805.9	OPEN FRACTURE OF UNSPECIFIED PART OF VERTEBRAL COLUMN WITHOUT MENTION OF SPINAL CORD INJURY	8059	S3210XB	10000
ICD9	647.82	Other specified infectious and parasitic diseases complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication	64782	O99835	10000
ICD9	209.14	Malignant carcinoid tumor of the transverse colon	20914	C7A023	00000
ICD9	756.3	OTHER CONGENITAL ANOMALIES OF RIBS AND STERNUM	7563	Q766	10000
ICD9	794.2	NONSPECIFIC ABNORMAL RESULTS OF FUNCTION STUDY OF PULMONARY SYSTEM	7942	R942	00000
ICD9	438	LATE EFFECTS OF CEREBROVASCULAR DISEASE	4380	I69912	10000
ICD9	986	TOXIC EFFECT OF CARBON MONOXIDE	986	T582X1A	10000
ICD9	976.6	POISONING BY ANTI-INFECTIVES AND OTHER DRUGS AND PREPARATIONS FOR EAR, NOSE, AND THROAT	9766	T496X3A	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S52389D	10000
ICD9	205.0	MYELOID LEUKEMIA, ACUTE	20500	C9200	10000
ICD9	994.7	ASPHYXIATION AND STRANGULATION	9947	T71164A	10000
ICD9	V10.09	PERSONAL HISTORY OF MALIGNANT NEOPLASM OF OTHER SITES IN GASTROINTESTINAL TRACT	V1009	Z8509	10000
ICD9	707.04	Pressure ulcer, hip	70704	L89209	10000
ICD9	015.02	TUBERCULOSIS OF VERTEBRAL COLUMN, BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION UNKNOWN (AT PRESENT)	01502	A1801	10000
ICD9	E816.6	MOTOR VEHICLE TRAFFIC ACCIDENT DUE TO LOSS OF CONTROL, WITHOUT COLLISION ON THE HIGHWAY, INJURING PEDAL CYCLIST	E8166	V193XXA	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S92516D	10000
ICD9	403.10	Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified	40310	I129	10000
ICD9	651.03	TWIN PREGNANCY, ANTEPARTUM CONDITION OR COMPLICATION	65103	O30003	10000
ICD9	821.3	FRACTURE OF LOWER END OF FEMUR, OPEN	82130	S72409C	10000
ICD9	E866.7	ACCIDENTAL POISONING BY COSMETICS	E8667	NoDx	11000
ICD9	661.21	Other and unspecified uterine inertia, delivered, with or without mention of antepartum condition	66121	O622	10000
ICD9	295.34	PARANOID TYPE SCHIZOPHRENIA, CHRONIC STATE WITH ACUTE EXACERBATION	29534	F200	10000
ICD9	671.91	Unspecified venous complication in pregnancy and the puerperium, delivered, with or without mention of antepartum condition	67191	O2291	10000
ICD9	239.5	NEOPLASM OF UNSPECIFIED NATURE OF OTHER GENITOURINARY ORGANS	2395	D4959	10000
ICD9	E999.0	LATE EFFECT OF INJURY DUE TO WAR OPERATIONS	E9990	Y36270S	10000
ICD9	E825.1	OTHER MOTOR VEHICLE NONTRAFFIC ACCIDENT OF OTHER AND UNSPECIFIED NATURE INJURING PASSENGER IN MOTOR VEHICLE OTHER THAN MOTORCYCLE	E8251	V493XXA	10000
ICD9	886.1	TRAUMATIC AMPUTATION OF OTHER FINGER(S) (COMPLETE) (PARTIAL), COMPLICATED	8861	S68119A	10000
ICD9	748.69	OTHER CONGENITAL ANOMALIES OF LUNG	74869	Q331	10000
ICD9	716.81	OTHER SPECIFIED ARTHROPATHY INVOLVING SHOULDER REGION	71681	M12819	10000
ICD9	208.9	UNSPECIFIED LEUKEMIA	20890	C9590	10000
ICD9	911.3	BLISTER OF TRUNK, INFECTED	9113	S2092XA	10111
ICD9	800.90	OPEN FRACTURE OF VAULT OF SKULL WITH INTRACRANIAL INJURY OF OTHER AND UNSPECIFIED NATURE, WITH STATE OF CONSCIOUSNESS UNSPECIFIED	80090	S020XXB	10111
ICD9	941.24	BLISTERS, WITH EPIDERMAL LOSS DUE TO BURN [SECOND DEGREE] OF CHIN	94124	T2023XA	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S52559D	10000
ICD9	369.16	BETTER EYE: MODERATE VISION IMPAIRMENT; LESSER EYE: TOTAL VISION IMPAIRMENT	36916	H541151	10000
ICD9	345.4	Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures	34540	G40201	10000
ICD9	120.0	SCHISTOSOMIASIS DUE TO SCHISTOSOMA HAEMATOBIUM	1200	B650	00000
ICD9	718.47	CONTRACTURE OF ANKLE AND FOOT JOINT	71847	M24576	10000
ICD9	806.04	CLOSED FRACTURE OF C(1)-C(4) LEVEL WITH OTHER SPECIFIED SPINAL CORD INJURY	80604	S12301A	10142
ICD9	E863.8	ACCIDENTAL POISONING BY FUMIGANTS	E8638	NoDx	11000
ICD9	646.21	Unspecified renal disease in pregnancy, without mention of hypertension, delivered, with or without mention of antepartum condition	64621	O26831	10000
ICD9	634.10	SPONTANEOUS ABORTION, UNSPECIFIED, COMPLICATED BY DELAYED OR EXCESSIVE HEMORRHAGE	63410	O036	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S99221D	10000
ICD9	291.82	Alcohol induced sleep disorders	29182	F10982	10000
ICD9	962.1	POISONING BY ANDROGENS AND ANABOLIC CONGENERS	9621	T386X2A	10000
ICD9	806.08	CLOSED FRACTURE OF C(5)-C(7) LEVEL WITH CENTRAL CORD SYNDROME	80608	S12501A	10122
ICD9	648.91	Other current conditions classifiable elsewhere, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition	64891	O99284	10000
ICD9	887.1	TRAUMATIC AMPUTATION OF ARM AND HAND (COMPLETE) (PARTIAL), UNILATERAL, BELOW ELBOW, COMPLICATED	8871	S68419A	10000
ICD9	369.25	BETTER EYE: MODERATE VISION IMPAIRMENT; LESSER EYE: MODERATE VISION IMPAIRMENT	36925	H542X11	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S52366D	10000
ICD9	913.8	OTHER AND UNSPECIFIED SUPERFICIAL INJURY OF ELBOW, FOREARM, AND WRIST, WITHOUT MENTION OF INFECTION	9138	S60919A	10000
ICD9	879.3	OPEN WOUND OF ABDOMINAL WALL, ANTERIOR, COMPLICATED	8793	S31125A	10000
ICD9	E840.5	ACCIDENT TO POWERED AIRCRAFT AT TAKEOFF OR LANDING INJURING OCCUPANT OF OTHER POWERED AIRCRAFT	E8405	V9529XA	10000
ICD9	790.91	ABNORMAL ARTERIAL BLOOD GASES	79091	R7981	10000
ICD9	813.53	FRACTURE OF DISTAL END OF ULNA (ALONE), OPEN	81353	S52609C	10000
ICD9	991.3	FROSTBITE OF OTHER AND UNSPECIFIED SITES	9913	T3390XA	10000
ICD9	719.39	PALINDROMIC RHEUMATISM INVOLVING MULTIPLE SITES	71939	M1239	10000
ICD9	205.22	Subacute myeloid leukemia in relapse	20522	C9222	10000
ICD9	728.87	Muscle weakness (generalized)	72887	M6281	00000
ICD9	055.79	MEASLES WITH OTHER SPECIFIED COMPLICATIONS	05579	B051	10000
ICD9	V54.17	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF VERTEBRAE	V5417	S22082D	10000
ICD9	279.2	COMBINED IMMUNITY DEFICIENCY	2792	D811	10000
ICD9	523.10	Chronic gingivitis, plaque induced	52310	K0510	00000
ICD9	652.53	High fetal head at term, antepartum condition or complication	65253	O324XX0	10000
